user_name,repo_name,repo_url,stars
ovity,octotree,https://github.com/ovity/octotree,22800
gitpod-io,gitpod,https://github.com/gitpod-io/gitpod,12900
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,7900
Codium-ai,pr-agent,https://github.com/Codium-ai/pr-agent,5900
danger,danger,https://github.com/danger/danger,5500
danger,danger-js,https://github.com/danger/danger-js,5300
joho,awesome-code-review,https://github.com/joho/awesome-code-review,4400
ajinabraham,nodejsscan,https://github.com/ajinabraham/nodejsscan,2400
microsoft,vscode-pull-request-github,https://github.com/microsoft/vscode-pull-request-github,2300
crev-dev,cargo-crev,https://github.com/crev-dev/cargo-crev,2100
houndci,hound,https://github.com/houndci/hound,2000
mbj,mutant,https://github.com/mbj/mutant,2000
Tencent,CodeAnalysis,https://github.com/Tencent/CodeAnalysis,1700
mattzcarey,code-review-gpt,https://github.com/mattzcarey/code-review-gpt,1600
reviewboard,reviewboard,https://github.com/reviewboard/reviewboard,1600
coderabbitai,ai-pr-reviewer,https://github.com/coderabbitai/ai-pr-reviewer,1500
ryanmcdermott,code-review-tips,https://github.com/ryanmcdermott/code-review-tips,1500
bit4woo,python_sec,https://github.com/bit4woo/python_sec,1300
code-review-checklists,java-concurrency,https://github.com/code-review-checklists/java-concurrency,1300
jiangsir404,Audit-Learning,https://github.com/jiangsir404/Audit-Learning,967
